gdp pc test,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,472.0534995935,473.5880775894,475.1276442777,476.6722158756,478.2218086536,479.7764389346,481.336123095,482.9008775642,484.4707188249,486.0456634137,487.6257279207,489.2109289901,490.80128332,492.3968076629,493.9975188259,495.6034336705,497.2145691132,498.8309421254,500.4525697336,502.0794690198,503.7116571215,505.3491512318,506.9919685998,508.6401265307,510.2936423858,511.952533583,513.6168175968,515.2865119584,516.9616342561,518.6422021353,520.3282332989,522.0197455071,523.7167565781,525.4192843879,527.1273468706,528.8409620187,530.5601478829,532.2849225731,534.0153042575,535.7513111638,537.4929615787,539.2402738485,540.993266379,542.751957636,544.5163661451,546.2865104924,548.0624093243,549.8440813477,551.6315453304,553.4248201014,555.2239245505,557.0288776293,558.8396983508,560.6564057899,562.4790190835,564.3075574306,566.1420400927,567.982486394,569.8289157213,571.6813475247,573.5398013172,575.4042966757,577.2748532402,579.1514907149,581.034228868,582.9230875319,584.8180866035,586.7192460444,588.626585881,590.540126205,592.4598871731,594.385889008,596.3181519976,598.2566964961,600.2015429239,602.1527117675,604.1102235802,606.0740989822,608.0443586604,610.0210233694,612.0041139308,613.9936512343,615.9896562373,617.9921499652,620.0011535122,622.0166880405,624.0387747816,626.0674350356,628.1026901722,630.1445616304,632.1930709189,634.2482396162,636.3100893713,638.3786419031,641.3332615197,644.3015560566,647.2835888058,650.279423352,653.2891235743,656.3127536476,659.3503780436,662.4020615325,665.4678691843,668.54786637,671.6421187634,674.7506923421,677.8736533891,681.0110684941,684.1630045553,687.3295287801,690.5107086873,693.7066121079,696.9173071872,700.1428623856,703.3833464805,706.6388285676,709.9093780623,713.1950647015,716.4959585445,719.8121299753,723.1436497034,726.4905887655,729.8530185273,733.2310106846,736.6246372652,740.0339706302,743.4590834755,746.9000488336,750.356940075,753.8298309098,757.3187953891,766.7521974021,779.4453144628,812.8562794792,815.3595213469,816.4148380353,837.0669354069,820.8530296296,849.7400694789,856.2288434033,868.4982225881,857.3586548821,853.1007099911,849.4447176804,846.2672817651,845.2206617373,833.6140562415,836.1971381977,845.0799785532,837.6207743452,833.31592336,773.6951377734,739.9811058125,803.4865369232,825.5800312026,846.4424025085,866.1924805689,786.1133599582,827.0921548187,809.0741143212,810.4316248939,896.8607463921,978.0114387919,1013.1327362922,994.5712439911,961.9241847981,1030.8880674538,852.3959448166,770.0107940191,751.4412739574,709.5049419011,705.4457986611,649.3413951574,558.8532414413,500.4494473478,601.8742098742,617.9106359779,635.341351018,653.2968533342,670.9872209172,663.9098777311,595.0387410365,726.7340547795,785.1275711082,804.717457749,874,887.9145776626,983.6523136747,984.8058414344,1154.8593648736,1214.6136530568,1261.3541844891,1349.696941024
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,601.2152223886,601.8396310303,602.4646881688,603.0903944776,603.7167506309,604.3437573038,604.9714151716,605.5997249109,606.2286871985,606.8583027123,607.4885721306,608.1194961326,608.7510753981,609.3833106077,610.0162024426,610.6497515847,611.2839587168,611.9188245221,612.5543496849,613.1905348898,613.8273808224,615.1338037077,616.4430070828,617.7549968654,619.069778986,620.3873593875,621.7077440256,623.0309388686,624.3569498975,625.685783106,627.0174445008,628.351940101,629.6892759388,631.0294580591,632.3724925197,633.7183853914,635.0671427577,636.4187707152,637.7732753735,639.1306628551,640.4909392956,641.8541108436,643.2201836609,644.5891639223,645.9610578158,647.3358715424,648.7136113167,650.094283366,651.4778939314,652.8644492668,654.2539556398,655.646419331,657.0418466346,658.4402438581,659.8416173225,661.2459733621,662.6533183249,664.0636585723,665.4770004791,666.8933504339,668.3127148388,669.7351001095,671.1605126753,672.5889589794,674.0204454785,675.4549786432,676.8925649576,678.33321092,679.7769230422,681.2237078499,682.673571883,692.7379778299,702.9507596203,713.3141047049,723.8302327829,734.5013962781,745.3298808206,756.3180057369,767.4681245466,778.782625466,790.2639319204,801.9145030625,813.7368342995,825.7334578275,837.9069431736,850.2598977469,862.7949673962,875.5148369774,888.4222309279,901.5199138507,914.8106911064,927.3527788726,940.0668191173,952.9551693149,966.0202192614,979.2643915167,992.6901418541,1006.2999597157,1020.0963686741,1034.0819268998,1048.2592276362,1062.0059040965,1075.9328519141,1090.0424351339,1104.3370488027,1118.8191193754,1133.4911051268,1148.3554965693,1163.4148168754,1178.6716223059,1194.1285026439,1209.4235793528,1224.9145640992,1240.6039661846,1250.9842763314,1261.4514400121,1272.0061839428,1282.6492409197,1293.3813498708,1304.2032559066,1315.1157103721,1326.1194708989,1337.2153014579,1348.4039724121,1359.6862605703,1371.0629492411,1382.5348282869,1394.1026941793,1405.7673500537,1417.5296057658,1422.7970144265,1428.0839962896,1433.3906240873,1438.7169708223,1444.0631097682,1449.4291144709,1454.81505875,1460.2210166988,1465.6470626865,1471.0932713583,1476.5597176368,1482.0464767231,1487.5536240978,1493.0812355218,1498.6293870377,1504.1981549705,1509.7876159288,1515.3978468062,1521.0289247816,1526.680927321,1532.3539321781,1598.4927497025,1601.0561363298,1665.7947366991,1714.6887761817,1807.1305868611,1825.3024874085,1942.2842441725,2029.7895853417,2113.3466057815,2220.3426964772,2238.7874367027,2312.8889577406,2391.7796160113,2473.6971001306,2563.9455735187,2660.0748365416,2760.1969305543,2859.8120127713,2956.937360083,3066.0229334948,3188.5772807417,3313.4221881009,3478.4591692996,3491.4265968828,3503.5917417234,3517.6156270154,3533.0039100482,3549.2649466448,3566.5688103305,3591.7556033401,3611.025540048,3630.880722186,3652.0761736016,3672.8675387232,3692.0896308238,3715.5497057281,3738.9327353597,3762.6065444742,3790.9817010108,3824.8479947455,2717.5682897861,2497.4379009003,2716.6461928032,2918.8166978097,3285.5347348708,3569.5945062241,3193.0546035388,3584.7731966688,3928.2751377194,4195.2103676377,4476.0451660371,4604.2117373419,4855.2100236861,5115.2528373732,5369,5652.0493213823,5958.0211967274,6365.5303593645,6550.8961635104,6746.445312271,6914.2673165318,6969.3062825646
Algeria,766.2536643789,766.2347794569,766.2158950003,766.1970110091,766.1781274834,766.1592444231,766.1403618281,766.1214796985,766.1025980343,766.0837168354,766.0648361019,766.0459558337,766.0270760309,766.0081966933,765.989317821,765.9704394141,765.9515614723,765.9326839959,765.9138069847,765.8949304387,765.876054358,773.6958647676,781.5955176459,789.5758282069,797.6376199883,805.7817249364,814.0089834917,822.3202446761,830.7163661801,839.1982144514,847.7666647846,856.422601411,865.1669175904,874.000515703,882.9243073425,891.9392134101,901.0461642099,910.2460995445,919.5399688123,928.9287311052,938.4133553078,947.9948201971,957.6741145438,967.4522372144,977.3301972737,987.3090140899,997.3897174386,1007.5733476103,1017.8609555166,1028.2536027997,1038.7523619412,1049.358316373,1060.0725605893,1070.8962002593,1081.8303523415,1092.8761451986,1104.0347187146,1115.3072244117,1126.6948255695,1138.1986973453,1149.8200268948,1161.5600134949,1173.4198686676,1185.4008163049,1197.5040927948,1209.7309471496,1222.0826411339,1234.5604493957,1247.1656595973,1259.8995725483,1272.7635023401,1287.2520659745,1301.9055608594,1316.7258644978,1331.7148757647,1346.8745151517,1362.2067250119,1377.7134698095,1393.3967363712,1409.258534141,1425.3008954372,1441.5258757133,1457.9355538212,1474.5320322773,1491.3174375323,1508.2939202434,1525.4636555497,1542.8288433515,1560.3917085913,1578.1545015398,1596.1194980835,1614.2890000165,1632.6653353356,1651.2508585386,1670.0479509256,1689.0590209043,1708.286504299,1727.7328646619,1747.4005935894,1767.292211041,1787.4102656624,1807.7573351118,1828.3360263904,1849.1489761761,1870.1988511619,1891.488348397,1913.0201956326,1934.7971516714,1956.8220067211,1979.0975827518,2001.6267338577,2024.4123466227,2047.4573404902,2070.7646681373,2079.7190245699,2088.7121012397,2097.7440655799,2106.8150857478,2115.9253306277,2125.0749698343,2134.2641737156,2143.4931133566,2152.7619605815,2162.0708879581,2171.4200687999,2180.8096771702,2190.2398878849,2199.7108765157,2209.2228193937,2218.7758936122,2228.3702770307,2238.0061482773,2247.683686753,2257.4030726343,2267.1644868768,2276.9681112187,2286.8141281839,2296.7027210858,2306.6340740303,2316.6083719195,2326.6258004551,2336.6865461415,2346.7907962899,2356.9387390214,2367.1305632706,2377.3664587889,2387.6466161483,2397.9712267451,2408.3404828029,2418.7545773767,2429.2137043563,2397.5311112267,2449.0081853515,2436.339950247,2557.8185072756,2572.4744434073,2764.4236288114,3013.9760229086,3059.5768653896,3548.4160223266,3716.7886794231,3202.9626197038,2550.8168798284,3146.5786303705,3214.4366087097,3327.9912204064,3070.7533920716,3246.9917712087,3519.7941160682,3747.7445276178,4003.5735900379,3559.3499088039,4182.6637656934,4194.6033494511,4320.9593075318,4489.0349856723,4642.6234106253,4910.4167564913,5373.1662882663,5682.0337082876,5610.1963048226,5573.3795907794,5745.1602129376,5853.6562182281,5986.5420377755,6107.1810131077,5876.0480951628,5681.3585392234,5415.9862639545,5457.745568792,5244.5096121211,5061.3034639138,5023.2166474204,4800.3171165056,4652.8411532099,4732.4330002575,4824.2124752776,4797.2950508115,4965.2283609132,5048.6155656488,5098.8535643408,5156.4474049993,5288.0403818277,5576.8515641015,5790.967692409,6011,6022.2709403693,6133.7827627431,6162.719839825,6173.7297410961,6300.6482136053,6354.6405228231,6419.1278293937
American Samoa,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,674.4537263352,676.6439759362,678.8413382466,681.0458363644,683.2574934628,685.4763327901,687.7023776703,689.9356515028,692.1761777635,694.423980004,696.6790818528,698.9415070148,701.2112792721,703.488422484,705.7729605872,708.0649175963,710.3643176036,712.6711847799,714.9855433744,717.307417715,719.6368322087,721.9738113417,724.3183796798,726.6705618684,729.0303826331,731.3978667796,733.7730391945,736.1559248449,738.5465487791,740.9449361268,743.3511120991,745.7651019892,748.1869311723,750.6166251061,753.0542093308,755.4997094699,757.9531512297,760.4145604002,762.8839628551,765.3613845522,767.8468515334,770.3403899254,772.8420259395,775.3517858725,777.8696961061,780.3957831081,782.9300734321,785.4725937178,788.0233706915,790.5824311665,793.1498020429,795.7255103082,798.3095830376,800.9020473943,803.5029306295,806.1122600831,808.7300631838,811.3563674491,813.9912004861,816.6345899916,819.2865637521,821.9471496445,824.6163756363,827.2942697856,829.9808602418,832.6761752457,835.3802431297,838.0930923183,840.8147513282,843.5452487689,846.2846133427,849.032873845,851.7900591649,854.5561982852,857.3313202829,860.1154543293,862.9086296905,865.7108757277,868.5222218974,871.3426977518,874.1723329389,877.0111572031,879.8592003856,882.7164924241,885.5830633538,888.4589433074,891.3441625154,894.2387513065,897.1427401078,900.0561594453,902.9790399442,905.9114123291,908.8533074243,911.8047561542,951.8065950099,993.5633568369,1037.1520319616,1082.6529883576,1130.1501198264,1179.7310006794,1231.4870472056,1285.5136862231,1341.9105310258,1400.7815650477,1462.2353335863,1526.3851439361,1593.3492743021,1663.2511918797,1736.2197805004,1812.3895782657,1891.901025606,1974.9007242219,2061.5417073854,2151.9837221003,2246.3935236402,2344.9451830088,2447.8204078891,2555.208877672,2667.308593184,2784.3262417572,2906.4775783156,3033.9878231799,3167.0920773241,3306.035755851,3451.0750404832,3602.4773519065,3760.5218428348,3925.4999127069,4097.7157449632,4277.486867893,4465.1447400878,4531.9876957337,4599.8312865168,4668.6904918865,4738.5805155339,4809.5167887482,4881.5149738243,4954.5909675207,5028.7609045694,5104.0411612383,5180.4483589474,5257.999367938,5336.7113109982,5416.6015672431,5497.6877759521,5579.9878404637,5663.5199321283,5748.3024943203,5834.3542465104,5921.6941883987,6010.3416041096,6100.3160664497,6191.6374412295,6284.3258916494,6296.6608087606,6309.01993693,6321.4033236792,6333.8110166232,6346.2430634703,6358.6995120226,6371.1804101759,6383.6858059199,6396.2157473388,6408.770282611,6421.3494600094,6433.9533279017,6446.5819347507,6459.2353291141,6471.9135596451,6484.6166750922,6497.3447242997,6604.3641536051,6713.1463273445,6823.7202801331,6936.1155248226,7050.3620603784,7166.4903798865,7284.5314786926,7404.5168626744,7526.478556651,7650.4491129306,7776.4616199989,8200.7902730261,8648.2727477499,9120.1724503893,9617.8217259026,11295.5587702757,13265.961001245,,,,,
Andorra,1260.123256209,1262.2144017593,1264.3090175175,1266.4071092424,1268.5086827023,1270.6137436749,1272.7222979478,1274.834351318,1276.9499095922,1279.0689785866,1281.1915641273,1283.3176720499,1285.4473081996,1287.5804784315,1289.7171886104,1291.8574446106,1294.0012523164,1296.1486176218,1298.2995464305,1300.4540446561,1302.6121182219,1317.9036989115,1333.3747900146,1349.0274988338,1364.8639574099,1380.8863228117,1397.0967774306,1413.4975292771,1430.0908122822,1446.8788866011,1463.8640389216,1481.0485827752,1498.4348588522,1516.0252353209,1533.8221081498,1551.8279014341,1570.0450677257,1588.4760883676,1607.1234738318,1625.9897640608,1645.0775288142,1664.3893680184,1683.9279121206,1703.6958224474,1723.6957915672,1743.9305436567,1764.4028348724,1785.1154537257,1806.0712214627,1827.2729924487,1848.7236545569,1870.4261295615,1892.3833735361,1914.5983772561,1937.0741666062,1959.8138029922,1982.8203837584,2006.0970426096,2029.6469500372,2053.4733137518,2077.5793791199,2101.9684296058,2126.6437872189,2151.6088129663,2176.8669073105,2202.4215106325,2228.2761037007,2254.4342081447,2280.899386935,2307.6752448686,2334.7654290598,2362.1736294368,2389.9035792446,2417.9590555534,2446.3438797731,2475.0619181735,2504.1170824116,2533.5133300637,2563.2546651649,2593.3451387541,2623.7888494262,2654.5899438903,2685.7526175342,2717.2811149962,2749.179730743,2781.4528096548,2814.1047476171,2847.1399921194,2880.5630428611,2914.3784523641,2948.5908265935,2983.2048255842,3018.2251640763,3053.6566121568,3089.5039959097,3125.7721980732,3162.4661587046,3199.5908758537,3237.1514062429,3275.1528659564,3313.6004311371,3352.4993386914,3391.8548870025,3431.6724366525,3471.957411152,3512.7152976792,3553.9516478272,3595.6720783601,3637.8822719783,3680.5879780922,3723.7950136055,3767.5092637077,3811.7366826752,3856.4832946829,4003.1797470311,4155.4563737213,4313.5254385486,4477.6072795931,4647.930616357,4824.7328685852,5008.2604872125,5198.7692979009,5396.5248576437,5601.8028249349,5814.8893440196,6036.08144376,6265.6874516754,6504.0274237299,6751.4335904705,7008.2508201346,7274.8370993744,7551.5640322671,7838.8173583067,8136.9974901004,8446.520071518,8767.816557072,9101.3348133382,9447.5397432521,9806.9139341541,10179.9583304848,10567.1929320695,10969.1575189642,11386.4124038743,11819.5392131943,12269.1416977575,12735.8465744258,13220.3043996924,13723.1904765158,14245.2057956484,14787.0780127724,15349.5624628051,15933.4432127866,16539.5341548191,17168.68014058,17821.7581589904,18499.6785586809,19203.3863169596,19933.8623570487,20692.1249154288,21479.2309611944,22296.2776694011,23144.4039504565,24024.7920376878,24938.6691352993,25887.3091290153,26872.034361795,27894.2174770931,28955.2833322364,30056.7109845829,31200.0357532322,32386.8513591616,32191.4346902732,33080.0082287757,33951.7892792275,34247.0908849396,33016.1723052794,32840.7941726404,32632.6351789226,32006.0431439996,30833.014406041,30183.8586043985,28684.5751426028,27523.3572205509,26568.2020786384,25820.2986376618,25465.8049206724,25621.5372794759,26576.0008008038,27517.7136072597,28281.8933930064,28511.1832634434,28091.122477675,27041.0171246327,25514.0385202786,25092.4327022828,25063.7690551698,25839.0650587233,28057.4713621957,28982.1382160595,30144.9716557499,30265.9410535338,33293.0005273776,34485.4835229009,35925.2782828301,37427.6063160504,39002.4098291062,39924.8371760538,39244.406089215,37046.5027016922,34710.2140125939,33052.2823183342,31630.7428446619,
Angola,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,359.9325818546,361.6203396221,363.3160114446,365.019634432,366.731245868,368.4508832111,370.1785840957,371.9143863324,373.6583279092,375.4104469924,377.1707819268,378.9393712375,380.7162536301,382.5014679915,384.2950533911,386.0970490815,387.9074944994,389.7264292664,391.5538931897,393.3899262634,395.2345686691,397.0878607768,398.9498431456,400.8205565251,402.7000418558,404.5883402701,406.4854930936,408.3915418452,410.3065282389,412.2304941841,414.1634817869,416.1055333504,418.0566913767,420.0169985666,421.9864978215,423.9652322439,425.9532451383,427.9505800124,429.9572805778,431.973390751,433.9989546547,436.0340166183,438.078621179,440.132813083,442.1966372863,444.2701389557,446.3533634695,448.4463564193,450.5491636101,452.6618310619,454.7844050102,456.9169319076,459.0594584245,461.2120314499,463.3746980929,465.5475056835,467.7305017734,469.9237341376,472.1272507748,474.341099909,476.5653299903,478.7999896958,481.0451279312,483.3007938311,485.5670367608,487.843906317,490.1314523289,492.4297248595,494.7387742064,497.0586509031,499.38940572,501.7310896658,504.083753988,506.4474501748,508.8222299556,511.2081453024,513.6052484309,516.0135918017,518.4332281213,520.8642103435,523.3065916701,525.7604255529,528.2257656937,530.7026660466,533.1911808184,535.6913644704,538.2032717189,540.726957537,543.2624771556,545.8098860644,548.3692400134,550.9405950141,553.5240073405,556.1195335305,583.8367579254,612.9354200902,643.4843714467,675.5558949999,709.2258763691,744.5739833439,781.6838543889,820.6432965442,861.5444931882,904.4842221567,949.5640847323,996.890746047,1046.5761874664,1098.737971553,1153.4995202355,1210.9904068419,1271.3466626876,1334.7110989442,1401.2336445504,1471.0717009646,1544.3905145976,1621.3635678093,1702.1729893907,1787.0099855062,1876.0752921136,1969.5796499324,2067.7443030857,2170.8015225941,2278.9951559603,2392.5812041461,2511.8284273058,2637.0189807092,2768.4490823601,2906.4297138883,3051.2873563747,3203.3647628508,3363.0217692987,3440.9013898987,3520.6102725561,3598.8055438985,3450.82022791,3672.081572911,3549.0353433731,3827.9404648118,3966.4150437097,3917.7611740824,4006.2063024053,4463.8259232334,4269.2767418841,4413.5963993109,4826.4881130166,5102.210213568,5308.1361809455,5522.7763745902,5346.627499331,5408.1193963917,5651.8828670273,5526.2113959759,5473.2880049446,5722.0237262861,5470.2120379197,3430.8487218887,3050.3158255826,3008.6473549265,3070.8164899394,3064.887940354,3074.7455426808,2953.4067259054,2756.9536718644,2584.5570455034,2527.4679140166,2492.8321322462,2220.6053324004,2430.2083113316,2728.5299017948,2730.5588842736,2777.417630548,2730.8542376652,2627.8456849861,1869.9237530938,1851.4462695635,1989.0246814938,2157.3520972409,2277.1408840101,2384.4792585215,2417.1810213746,2446.645873117,2479.690228683,2773.2873117382,2785.3939569384,3007.1145952488,3533,4148.0024504753,4950.17855339,5488.4577478058,5475.9458939222,5497.6181033348,5546.6465720317,5838.155375825
Anguilla,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,775.6687105888,780.7941943749,785.9535464653,791.1469906561,796.3747522219,801.6370579258,806.9341360296,812.2662163033,817.633530035,823.0363100413,828.4747906772,833.9492078463,839.4597990108,845.0068032023,850.5904610317,856.2110146999,861.868708008,867.5637863685,873.2964968152,879.0670880144,884.8758102755,890.722915562,896.6086575021,902.5332914002,908.4970742475,914.5002647335,920.543123257,926.6259119376,932.7488946266,938.9123369191,945.1165061652,951.3616714814,957.6481037627,963.9760756939,970.3458617619,976.7577382672,983.211983336,989.7088769325,996.2487008707,1002.8317388268,1009.4582763515,1016.1286008824,1022.8430017565,1029.6017702224,1036.4051994536,1043.2535845606,1050.147222604,1057.0864126073,1064.0714555699,1071.1026544803,1078.1803143288,1085.3047421213,1092.4762468923,1099.6951397181,1106.9617337308,1114.2763441315,1121.6392882042,1129.0508853293,1136.5114569978,1144.0213268249,1151.5808205642,1159.190266122,1166.8499935711,1174.5603351656,1182.3216253548,1190.1342007983,1197.9984003801,1205.9145652234,1213.8830387057,1221.9041664734,1229.9782964568,1238.1057788853,1246.2869663026,1254.5222135819,1262.8118779413,1271.1563189596,1279.5558985912,1288.0109811825,1296.5219334874,1305.0891246834,1313.7129263871,1322.3937126709,1331.1318600791,1339.9277476439,1348.7817569023,1357.6942719123,1366.6656792697,1375.6963681248,1384.7867301996,1393.9371598042,1403.1480538544,1412.4198118888,1421.752836086,1431.147531282,1466.2227584283,1502.1576255015,1538.9732009557,1576.6910696,1615.3333452542,1654.9226837139,1695.4822960334,1737.0359621341,1779.608044747,1823.2235036962,1867.9079105324,1913.6874635262,1960.5890030271,2008.6400272007,2057.8687081502,2108.3039084337,2159.9751979865,2212.9128714574,2267.1479659704,2322.712279322,2379.6383886237,2437.9596694019,2497.7103151659,2558.9253574554,2621.6406863793,2685.893071658,2751.7201841812,2819.1606180941,2888.2539134253,2959.0405792686,3031.5621175337,3105.861047278,3181.9809296358,3259.9663933581,3339.8631609776,3421.7180756165,3505.5791284495,3591.4954868415,3679.517523174,3769.6968443781,3862.0863221914,3956.7401241568,4053.7137453803,4153.0640410676,4254.8492598584,4359.1290779767,4465.9646342193,4575.4185658011,4687.5550450785,4802.4398171742,4920.1402385226,5040.7253163607,5164.2657491872,5290.8339682122,5420.5041798233,5553.352409093,5689.4565443511,5475.3178583619,6031.5538209529,6214.2060741815,6148.6847016514,6318.4780778236,6393.5069252905,6391.2764238628,6858.3851652772,7507.0286924294,7866.6186829585,8151.641950839,8050.178974296,8015.966179094,8263.6471196852,8975.705788449,9911.0936490407,10604.3480759344,11605.7441832381,12220.7691108264,12335.0144596966,11709.2870866924,12197.8264962601,12770.8347596477,13477.4158857628,12888.0937698926,12957.8065430059,14096.1282675908,15298.7688253213,15611.946137912,15551.7256419812,15678.6720726032,15179.2600488362,15300.1115358929,18278.821179266,19478.9009652012,22716.0548035714,25037.5469899257,24145.3738227523,19309.7469019966,18220.4782484423,18600.5836746356,
Antigua and Barbuda,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,538.376199023,541.9336952081,545.5146987087,549.1193648569,552.7478500113,556.400311564,560.0769079466,563.777798638,567.5031441706,571.253106138,575.0278472011,578.8275310959,582.6523226403,586.5023877414,590.3778934022,594.2790077297,598.2058999414,602.1587403732,606.1377004862,610.142952875,614.1746712741,618.2330305665,622.3182067904,626.4303771475,630.5697200104,634.7364149303,638.9306426446,643.1525850855,647.4024253869,651.680347893,655.9865381663,660.3211829951,664.6844704022,669.0765896528,673.4977312627,677.9480870066,682.4278499263,686.9372143395,691.4763758476,696.0455313445,700.6448790255,705.2746183951,709.9349502764,714.6260768194,719.3482015097,724.1015291779,728.8862660076,733.7026195453,738.5507987085,743.4310137955,748.3434764941,753.2883998909,758.2659984805,763.2764881749,768.3200863129,773.3970116692,778.5074844643,783.6517263738,788.8299605382,794.0424115724,799.2893055754,804.5708701404,809.8873343646,815.2389288586,820.6258857573,826.0484387292,831.5068229871,837.0012752977,842.5320339926,848.0993389779,853.7034317453,859.3445553819,865.0229545813,870.7388756539,876.4925665378,882.2842768093,888.1142576938,893.9827620769,899.8900445152,905.8363612474,911.8219702052,917.8471310248,923.912105058,930.0171553837,936.1625468189,942.3485459308,948.5754210477,954.8434422712,961.1528814877,967.5040123799,973.8971104393,980.3324529775,986.8103191387,993.3309899117,1017.6760062996,1042.6176816349,1068.1706391118,1094.3498603164,1121.1706940104,1148.6488651301,1176.8004840059,1205.6420558076,1235.1904902214,1265.4631113638,1296.4776679389,1328.2523436442,1360.8057678318,1394.1570264305,1428.3256731358,1463.3317408744,1499.1957535493,1535.9387380726,1573.5822366938,1612.14831963,1651.6595980052,1692.1392371074,1733.6109699702,1776.0991112874,1819.6285716687,1864.2248722443,1909.9141596283,1956.723221248,2004.6795010497,2053.8111155882,2104.1468705123,2155.7162774525,2208.5495713246,2262.6777280553,2318.1324827438,2374.9463482678,2433.1526343458,2492.7854670662,2553.8798088954,2616.4714791763,2680.5971751285,2746.2944933644,2813.6019519316,2882.5590128956,2953.2061054767,3025.5846497533,3099.7370809462,3175.7068742983,3253.5385705638,3333.2778021225,3414.9713197337,3498.6670199459,3584.4139731784,3672.2624524912,3762.2639630597,3854.471272372,3948.9384411662,4138.4695945117,4333.744532945,4597.8300450111,4676.1148047489,4382.0664461064,3991.8049878454,4319.5939710715,4535.0359961155,5105.6903919497,5532.0314351371,5882.2246602601,5973.2205671906,6453.0880792411,7024.1114074493,7693.9238482063,8513.7436975692,9474.1376888754,10425.22689775,11211.4388645536,11573.5614366675,11751.6022621023,11677.3536134108,12036.981411064,12477.5486885785,11650.3560907605,12104.5205108189,12387.2807220904,12613.1599338411,12826.309853315,12738.744630553,12770.7392517543,12874.342594994,13346.2816401663,14114.0915016707,14579,16223.3891232461,17161.6862603199,17226.5807026447,15219.4999772147,13921.5162201654,13508.8026074498,13722.9861632911
